4QL3H	75L8	accepted	species	Pustularia bufonia	Grelet
4QL4Q	75L8	accepted	species	Pustularia violacea	Velen.
6WP75	75L8	accepted	species	Pustularia pateriformis	(Durieu & Lév.) Boud.
4QL4K	75L8	accepted	species	Pustularia subcupularis	(Rehm) Boud.
4QL3F	75L8	accepted	species	Pustularia bolaris	(Bres.) Boud.
4QL3C	75L8	accepted	species	Pustularia anemone	(Quél.) Boud.
7DKBS	647Y5	accepted	species	Underwoodia columnaris	Peck
34FMK	42LM	accepted	species	Delastria rosea	Tul. & C. Tul.
34FML	42LM	accepted	species	Delastria supernova	A. Paz & Lavoise
34FMJ	42LM	accepted	species	Delastria liebanensis	A. Paz, Fern. Rodr. & Lavoise
34FMF	42LM	accepted	species	Delastria evae	M. Romero, A. Paz & Lavoise
34FMH	42LM	accepted	species	Delastria javieri	A. Paz, Lavoise & Raf. Molina
34FMG	42LM	accepted	species	Delastria faustiniana	A. Paz, Lavoise & Juste
3WG2W	5HDF	accepted	species	Luteoamylascus aculeatus	Cabero, P. Alvarado & G. Moreno
77Z7J	6XQ8	accepted	species	Protogautieria substriata	Thiers
77YVJ	6XQ8	accepted	species	Protogautieria lutea	A.H. Sm.
3GTQ7	9JBGV	accepted	species	Gomphus crassipes	(Kuntze) Maire
3GTSN	9JBGV	accepted	species	Gomphus yunnanensis	R.H. Petersen & M. Zang
3GTPS	9JBGV	accepted	species	Gomphus brasiliensis	Corner
3GTRC	9JBGV	accepted	species	Gomphus megasporus	Corner
6L25R	9JBGV	accepted	species	Gomphus szechwanensis	R.H. Petersen
3GTQ3	9JBGV	accepted	species	Gomphus clavatus	(Pers.) Gray
B2Y5C	9JBGV	accepted	species	Gomphus matijun	J.W. Liu & F.Q. Yu
3GTQ2	9JBGV	accepted	species	Gomphus cavipes	Corner
3GTR9	9JBGV	accepted	species	Gomphus ludovicianus	R.H. Petersen, Justice & D.P. Lewis
3GTSB	9JBGV	accepted	species	Gomphus thiersii	R.H. Petersen
3GTRJ	9JBGV	accepted	species	Gomphus ochraceus	(Pat.) Singer
3GTRM	9JBGV	accepted	species	Gomphus orientalis	R.H. Petersen & M. Zang
3GTPV	9JBGV	accepted	species	Gomphus brunneus	(Heinem.) Corner
B368V	4P4B	accepted	species	Gloeocantharellus pleurobrunnescens	(Villegas & A. Kong) A. Gonz.-Ávila, R. Valenz. & I. Luna-Vega
9Z7SW	4P4B	accepted	species	Gloeocantharellus andasibensis	Ralaiv., Niskanen & Liimat.
B38S5	4P4B	accepted	species	Gloeocantharellus calakmulensis	(Villegas & Cifuentes) Gonz.-Ávila, R. Valenz. & I. Luna-Vega
6KK5G	4P4B	accepted	species	Gloeocantharellus echinosporus	Corner
6KJTH	4P4B	accepted	species	Gloeocantharellus lateritius	(Petch) Corner
6KK5J	4P4B	accepted	species	Gloeocantharellus novae-zelandiae	(Segedin) Giachini
9Z7SX	4P4B	accepted	species	Gloeocantharellus salmonicolor	Reschke, C.W. Fisch. & T.A. Hofm.
3GBB5	4P4B	accepted	species	Gloeocantharellus uitotanus	Vasco-Pal. & Franco-Mol.
6KK5C	4P4B	accepted	species	Gloeocantharellus pallidus	(Yasuda) Giachini
6KJTG	4P4B	accepted	species	Gloeocantharellus dingleyae	(Segedin) Giachini
6KK5N	4P4B	accepted	species	Gloeocantharellus corneri	(Singer) Corner
3GBB3	4P4B	accepted	species	Gloeocantharellus purpurascens	(Hesler) Singer
B2ZH9	4P4B	accepted	species	Gloeocantharellus albidocarneus	(Villegas) Gonz.-Ávila, R. Valenz. & I. Luna-Vega
3GBB2	4P4B	accepted	species	Gloeocantharellus persicinus	T.H. Li, Chun Y. Deng & L.M. Wu
9Z7SV	4P4B	accepted	species	Gloeocantharellus aculeatus	Linhares, P.P. Daniëls & M.A. Neves
6KJTJ	4P4B	accepted	species	Gloeocantharellus neoechinosporus	Ming Zhang & T.H. Li
6KJTC	4P4B	accepted	species	Gloeocantharellus okapaensis	(Corner) Corner
6KK5H	4P4B	accepted	species	Gloeocantharellus mamorensis	(Singer) Giachini
3GBB4	4P4B	accepted	species	Gloeocantharellus substramineus	Wartchow
4RBM2	76WS	accepted	species	Ramaria botrytoides	(Peck) Corner
4RBND	76WS	accepted	species	Ramaria compressa	Velen.
4RBMQ	76WS	accepted	species	Ramaria cartilaginea	Marr & D.E. Stuntz
4RBSP	76WS	accepted	species	Ramaria lutea	Schild
793CR	76WS	accepted	species	Ramaria polonica	R.H. Petersen
4RBQM	76WS	accepted	species	Ramaria foetida	R.H. Petersen
793D6	76WS	accepted	species	Ramaria prostrata	Khurana & K.S. Thind
4RBWM	76WS	accepted	species	Ramaria thalliovirescens	Franchi & M. Marchetti
4RBRB	76WS	accepted	species	Ramaria harrisonii	R.H. Petersen
793CS	76WS	accepted	species	Ramaria macrospora	Velen.
4RBMN	76WS	accepted	species	Ramaria capitata	Corner
4RBV3	76WS	accepted	species	Ramaria rubiginosa	Marr & D.E. Stuntz
4RBRY	76WS	accepted	species	Ramaria juliana	Velen.
4RBMK	76WS	accepted	species	Ramaria candida	Corner
4RBVH	76WS	accepted	species	Ramaria sanguinipes	R.H. Petersen & M. Zang
4RBN5	76WS	accepted	species	Ramaria cistophila	P.P. Daniëls, M.P. Martín, C. Rojo & Camello
6X3CV	76WS	accepted	species	Ramaria reticulata	(Berk. & Cooke) Corner
793F3	76WS	accepted	species	Ramaria flavobrunnescens	(G.F. Atk.) Corner
4RBV8	76WS	accepted	species	Ramaria rubripermanens	Marr & D.E. Stuntz
4RBWW	76WS	accepted	species	Ramaria velenovskyi	Pilát
793CV	76WS	accepted	species	Ramaria rufescens	(Schaeff.) Corner
4RBNY	76WS	accepted	species	Ramaria cyaneigranosa	Marr & D.E. Stuntz
4RBSZ	76WS	accepted	species	Ramaria magnifica	Schild
4RBWG	76WS	accepted	species	Ramaria tehovensis	Velen.
4RBKN	76WS	accepted	species	Ramaria acrisiccescens	Marr & D.E. Stuntz
4RBLQ	76WS	accepted	species	Ramaria australiana	(Cleland) R.H. Petersen
4RBT7	76WS	accepted	species	Ramaria molleriana	(Bres. & Roum.) Corner
4RBV5	76WS	accepted	species	Ramaria rubribrunnescens	Marr & D.E. Stuntz
4RBWN	76WS	accepted	species	Ramaria thiersii	R.H. Petersen & Scates
78RF2	76WS	accepted	species	Ramaria calvodistalis	R.H. Petersen
4RBVC	76WS	accepted	species	Ramaria saccardoi	(P. Syd.) Corner
4RBPF	76WS	accepted	species	Ramaria echinata	Velen.
4RBRK	76WS	accepted	species	Ramaria holsatica	(Henn.) Corner
4RBQT	76WS	accepted	species	Ramaria geesterani	de Meijer
4RBLJ	76WS	accepted	species	Ramaria aurantiaca	Corner
4RBP4	76WS	accepted	species	Ramaria daucipes	R.H. Petersen
6WRD5	76WS	accepted	species	Ramaria pseudogracilis	R.H. Petersen
793D5	76WS	accepted	species	Ramaria purpurissima	R.H. Petersen & Scates
4RBLK	76WS	accepted	species	Ramaria aurantiiramosa	(Marr & D.E. Stuntz) Franchi & M. Marchetti
4RBMR	76WS	accepted	species	Ramaria caulifloriformis	(Leathers) Corner
793CY	76WS	accepted	species	Ramaria valdiviana	Singer
4RBQF	76WS	accepted	species	Ramaria flavoides	Schild
78RDY	76WS	accepted	species	Ramaria araiospora	Marr & D.E. Stuntz
4RBMT	76WS	accepted	species	Ramaria celerivirescens	Marr & D.E. Stuntz
6X3CR	76WS	accepted	species	Ramaria persicina	Cázares
793DY	76WS	accepted	species	Ramaria articulata	(Henn.) Corner
4RBTK	76WS	accepted	species	Ramaria ochrochlora	Furrer-Ziogas & Schild
4RBP8	76WS	accepted	species	Ramaria deformis	Velen.
