Sample_ID,Prop_EcM_OTUs_unassigned,Prop_EcM_OTUs_assigned,Latitude,Longitude,Biome,Continent,Country,Year_of_sampling
GF04008349S,0.672727273,0.327272727,35.95049,138.8249,forest,Asia,Japan,2014
GF04008367S,0.733333333,0.266666667,35.95783,138.81526,forest,Asia,Japan,2014
GF04008368S,0.706896552,0.293103448,35.93671,138.804,forest,Asia,Japan,2014
GF04008370S,0.666666667,0.333333333,35.9195,138.80341,forest,Asia,Japan,2014
GF04008382S,0.724637681,0.275362319,35.937,138.80453,forest,Asia,Japan,2014
GF04008385S,0.628571429,0.371428571,35.91949,138.83178,forest,Asia,Japan,2014
GF04008386S,0.607142857,0.392857143,35.91949,138.83178,forest,Asia,Japan,2014
GF04008390S,0.735632184,0.264367816,35.95783,138.81526,forest,Asia,Japan,2014
GF04008391S,0.76,0.24,35.91744,138.81882,forest,Asia,Japan,2014
GF04008404S,0.712121212,0.287878788,35.91694,138.81892,forest,Asia,Japan,2014
GF04008408S,0.619047619,0.380952381,35.9588,138.79818,forest,Asia,Japan,2014
GF04008409S,0.639344262,0.360655738,35.91998,138.80378,forest,Asia,Japan,2014
GF04008419S,0.816326531,0.183673469,35.91358,138.81928,forest,Asia,Japan,2014
GF04008425S,0.645833333,0.354166667,35.91998,138.80378,forest,Asia,Japan,2014
GF04008426S,0.64957265,0.35042735,35.91476,138.79742,forest,Asia,Japan,2014
GF04008429S,0.596153846,0.403846154,35.95876,138.79862,forest,Asia,Japan,2014
GF04008437S,0.777777778,0.222222222,35.93671,138.804,forest,Asia,Japan,2014
GF04008438S,0.586956522,0.413043478,35.95716,138.81996,forest,Asia,Japan,2014
GF04009014S,0.837837838,0.162162162,27.167,100.167,forest,Asia,China,2015
GF04009015S,0.798742138,0.201257862,24.53,101.02,forest,Asia,China,2014
GF04009017S,0.788,0.212,27.12,100.17,forest,Asia,China,2017
GF04009018S,0.783333333,0.216666667,24.53,101.02,forest,Asia,China,2017
GF04009020S,0.777777778,0.222222222,27.12,100.17,forest,Asia,China,2014
GF04009021S,0.801801802,0.198198198,27.12,100.17,forest,Asia,China,2014
GF04009022S,0.717241379,0.282758621,27.12,100.17,forest,Asia,China,2017
GF04009024S,0.772727273,0.227272727,24.53,101.02,forest,Asia,China,2014
GF04009026S,0.778947368,0.221052632,27.12,100.17,forest,Asia,China,2014
GF04009027S,0.780269058,0.219730942,27.12,100.17,forest,Asia,China,2014
GF04009028S,0.803738318,0.196261682,27.12,100.17,forest,Asia,China,2017
GF04009029S,0.727626459,0.272373541,27.12,100.17,forest,Asia,China,2014
GF04009030S,0.73151751,0.26848249,27.12,100.17,forest,Asia,China,2017
GF04009031S,0.800947867,0.199052133,27.12,100.17,forest,Asia,China,2014
GF04009032S,0.823809524,0.176190476,27.12,100.17,forest,Asia,China,2014
GF04009033S,0.77443609,0.22556391,24.53,101.02,forest,Asia,China,2014
GF04009035S,0.793814433,0.206185567,27.12,100.17,forest,Asia,China,2014
GF04009036S,0.772058824,0.227941176,27.12,100.17,forest,Asia,China,2014
GF04009037S,0.787234043,0.212765957,27.12,100.17,forest,Asia,China,2014
GF04009038S,0.78358209,0.21641791,21.61,101.57,forest,Asia,China,2016
GF04009039S,0.816831683,0.183168317,24.53,101.02,forest,Asia,China,2014
GF04009040S,0.765432099,0.234567901,21.61,101.57,forest,Asia,China,2017
GF04009042S,0.81147541,0.18852459,21.61,101.57,forest,Asia,China,2016
GF04009043S,0.825806452,0.174193548,24.53,101.02,forest,Asia,China,2017
GF04009044S,0.774647887,0.225352113,24.53,101.02,forest,Asia,China,2014
GF04009045S,0.805031447,0.194968553,24.53,101.02,forest,Asia,China,2014
GF04009046S,0.756578947,0.243421053,27.12,100.17,forest,Asia,China,2014
GF04009047S,0.764367816,0.235632184,27.12,100.17,forest,Asia,China,2017
GF04009049S,0.776649746,0.223350254,27.12,100.17,forest,Asia,China,2017
GF04009051S,0.78125,0.21875,21.61,101.57,forest,Asia,China,2016
GF04009052S,0.786163522,0.213836478,27.12,100.17,forest,Asia,China,2017
GF04009053S,0.786885246,0.213114754,21.61,101.57,forest,Asia,China,2016
GF04009054S,0.845714286,0.154285714,24.53,101.02,forest,Asia,China,2017
GF04009055S,0.767857143,0.232142857,27.12,100.17,forest,Asia,China,2014
GF04009058S,0.74,0.26,27.12,100.17,forest,Asia,China,2014
GF04009059S,0.76816609,0.23183391,27.12,100.17,forest,Asia,China,2014
GF04009060S,0.755775578,0.244224422,27.12,100.17,forest,Asia,China,2017
GF04009062S,0.807291667,0.192708333,21.61,101.57,forest,Asia,China,2017
GF04009064S,0.81147541,0.18852459,21.61,101.57,forest,Asia,China,2016
GF04009065S,0.8,0.2,21.61,101.57,forest,Asia,China,2017
GF04009066S,0.807228916,0.192771084,21.61,101.57,forest,Asia,China,2017
GF04009068S,0.797927461,0.202072539,21.61,101.57,forest,Asia,China,2017
GF04009069S,0.844559585,0.155440415,21.61,101.57,forest,Asia,China,2017
GF04009072S,0.815028902,0.184971098,21.61,101.57,forest,Asia,China,2016
GF04009074S,0.756,0.244,24.53,101.02,forest,Asia,China,2014
GF04009075S,0.666666667,0.333333333,27.167,100.167,forest,Asia,China,2015
GF04009077S,0.837962963,0.162037037,24.53,101.02,forest,Asia,China,2014
GF04009078S,0.790849673,0.209150327,21.61,101.57,forest,Asia,China,2016
GF04009079S,0.7625,0.2375,27.12,100.17,forest,Asia,China,2017
GF04009080S,0.824,0.176,24.53,101.02,forest,Asia,China,2014
GF04009081S,0.775641026,0.224358974,24.53,101.02,forest,Asia,China,2014
GF04009082S,0.757009346,0.242990654,27.12,100.17,forest,Asia,China,2017
GF04009083S,0.79389313,0.20610687,21.61,101.57,forest,Asia,China,2017
GF04009086S,0.803571429,0.196428571,24.53,101.02,forest,Asia,China,2017
GF04009087S,0.746987952,0.253012048,27.12,100.17,forest,Asia,China,2014
GF04009088S,0.740963855,0.259036145,27.12,100.17,forest,Asia,China,2014
GF04009093S,0.790055249,0.209944751,24.53,101.02,forest,Asia,China,2017
GF04009094S,0.784883721,0.215116279,27.12,100.17,forest,Asia,China,2014
GF04009096S,0.766871166,0.233128834,24.53,101.02,forest,Asia,China,2014
GF04009097S,0.809782609,0.190217391,27.12,100.17,forest,Asia,China,2014
GF04009098S,0.746212121,0.253787879,27.12,100.17,forest,Asia,China,2014
GF04009100S,0.772727273,0.227272727,27.12,100.17,forest,Asia,China,2017
GF04009104S,0.778571429,0.221428571,24.53,101.02,forest,Asia,China,2014
GF04009107S,0.84375,0.15625,24.53,101.02,forest,Asia,China,2014
GF04009108S,0.843373494,0.156626506,21.61,101.57,forest,Asia,China,2017
GF04009109S,0.803108808,0.196891192,24.53,101.02,forest,Asia,China,2014
GF04009110S,0.76284585,0.23715415,27.12,100.17,forest,Asia,China,2014
GF04009111S,0.795597484,0.204402516,27.12,100.17,forest,Asia,China,2014
GF04009112S,0.723577236,0.276422764,21.61,101.57,forest,Asia,China,2017
GF04009113S,0.840909091,0.159090909,21.61,101.57,forest,Asia,China,2017
GF04009114S,0.770700637,0.229299363,24.53,101.02,forest,Asia,China,2017
GF04009115S,0.775167785,0.224832215,27.12,100.17,forest,Asia,China,2017
GF04009116S,0.757894737,0.242105263,27.12,100.17,forest,Asia,China,2017
GF04009117S,0.8125,0.1875,27.12,100.17,forest,Asia,China,2014
GF04009118S,0.734782609,0.265217391,27.12,100.17,forest,Asia,China,2017
GF04009119S,0.821428571,0.178571429,24.53,101.02,forest,Asia,China,2017
GF04009120S,0.762195122,0.237804878,27.12,100.17,forest,Asia,China,2017
