"canonicalName","acceptedNameUsage","NSL","GBIF","OBSERVATION_TOT","SPECIMEN_TOT","GlobalFungi","synonym_canonicalNames","GSMc","UNITE"
"Cortinarius bellus","Cortinarius bellus E.Horak","yes","yes",0,1,NA,"Cortinarius bellus",NA,"yes"
"Cortinarius bisporiger","Cortinarius bisporiger Contu","yes",NA,0,0,NA,"Cortinarius bisporiger","yes",NA
"Cortinarius boreidionysae","Cortinarius boreidionysae",NA,NA,NA,NA,NA,NA,"yes","yes"
"Cortinarius bovinus","Cortinarius bovinus Fr.","yes",NA,0,0,NA,"Cortinarius bovinus",NA,"yes"
"Cortinarius brunneus","Cortinarius brunneus (Pers.) Fr.","yes","yes",0,2,NA,"Agaricus brunneus, Cortinarius brunneus",NA,"yes"
"Cortinarius bundarus","Cortinarius bundarus Grgur.","yes","yes",1,6,NA,"Cortinarius bundarus",NA,NA
"Cortinarius caeruleoeburneus","Cortinarius caeruleoeburneus Gasparini","yes","yes",0,4,NA,"Cortinarius caeruleoeburneus",NA,"yes"
"Cortinarius caesibulga","Cortinarius caesibulga Vernes, Danks & T.Lebel","yes",NA,0,0,NA,"Cortinarius caesibulga",NA,NA
"Cortinarius caesioarmeniacus","Cortinarius caesioarmeniacus",NA,NA,0,0,"yes","Cortinarius caesioarmeniacus",NA,"yes"
"Cortinarius caespitosus","Cortinarius caespitosus F.M.Bailey","yes",NA,0,0,NA,"Cortinarius caespitosus",NA,NA
"Cortinarius calaisopus","Cortinarius calaisopus",NA,NA,0,0,"yes","Cortinarius calaisopus",NA,"yes"
"Cortinarius campbelliae","Cortinarius campbelliae (Berk. & Broome ex Zeller & C.W.Dodge) Peintner & M.M.Moser","yes","yes",0,25,NA,"Arcangeliella campbelliae, Cortinarius campbelliae, Thaxterogaster campbelliae",NA,NA
"Cortinarius canarius","Cortinarius canarius",NA,"yes",209,36,"yes","Cortinarius canarius",NA,"yes"
"Cortinarius capsicosmus","Cortinarius capsicosmus Gasparini","yes","yes",0,2,NA,"Cortinarius capsicosmus",NA,NA
"Cortinarius caryotis","Cortinarius caryotis",NA,NA,NA,NA,NA,NA,"yes",NA
"Cortinarius casimiri","Cortinarius casimiri",NA,NA,0,0,"yes","Cortinarius casimiri","yes","yes"
"Cortinarius castaneodiscus","Cortinarius castaneodiscus",NA,"yes",0,4,NA,"Cortinarius castaneodiscus",NA,"yes"
"Cortinarius castaneofulvus","Cortinarius castaneofulvus Cleland","yes","yes",9,8,NA,"Cortinarius castaneofulvus",NA,NA
"Cortinarius catarracticus","Cortinarius catarracticus Gasparini","yes",NA,0,0,NA,"Cortinarius catarracticus, Cortinarius umbonatus",NA,NA
"Cortinarius chromobasis","Cortinarius chromobasis Høil. & Watling","yes","yes",0,4,NA,"Cortinarius chromobasis, Dermocybe chromobasis",NA,NA
"Cortinarius chrysochalybdeus","Cortinarius chrysochalybdeus Gasparini","yes","yes",0,2,NA,"Cortinarius chrysochalybdeus",NA,NA
"Cortinarius chrysopocos","Cortinarius chrysopocos Gasparini","yes","yes",147,13,NA,"Cortinarius chrysopocos",NA,"yes"
"Cortinarius cinereoroseolus","Cortinarius cinereoroseolus Danks, T.Lebel & Vernes","yes",NA,0,0,NA,"Cortinarius cinereoroseolus",NA,NA
"Cortinarius cinnabarinus","Cortinarius cinnabarinus Fr.","yes","yes",1,21,NA,"Cortinarius cinnabarinus, Dermocybe cinnabarina",NA,"yes"
"Cortinarius cinnamomeobadius","Cortinarius cinnamomeobadius Cleland & J.R.Harris","yes",NA,0,0,NA,"Cortinarius cinnamomeobadius",NA,NA
"Cortinarius cinnamomeus","Cortinarius cinnamomeus (L.) Fr.","yes","yes",3,7,NA,"Agaricus cinnamomeus, Cortinarius cinnamomeus, Dermocybe cinnamomea",NA,"yes"
"Cortinarius clelandii","Cortinarius clelandii A.H.Sm.","yes","yes",81,136,"yes","Cortinarius clelandii, Cortinarius subcinnamomeus, Dermocybe clelandii","yes","yes"
"Cortinarius coelopus","Cortinarius coelopus Gasparini","yes",NA,0,0,NA,"Cortinarius coelopus",NA,NA
"Cortinarius controversus","Cortinarius controversus Gasparini","yes",NA,0,0,NA,"Cortinarius controversus",NA,NA
"Cortinarius corrosus","Cortinarius corrosus Fr.","yes",NA,0,0,NA,"Cortinarius corrosus",NA,NA
"Cortinarius corrugis","Cortinarius corrugis",NA,NA,NA,NA,NA,NA,"yes",NA
"Cortinarius cramesinus","Cortinarius cramesinus",NA,"yes",28,14,NA,"Cortinarius cramesinus",NA,"yes"
"Cortinarius cremeolina","Cortinarius cremeolina",NA,NA,NA,NA,NA,NA,"yes",NA
"Cortinarius cremeorufus","Cortinarius cremeorufus",NA,NA,NA,NA,NA,NA,"yes",NA
"Cortinarius cribbiae","Cortinarius cribbiae",NA,"yes",0,4,NA,"Cortinarius cribbiae",NA,NA
"Cortinarius croceus","Cortinarius croceus (Schaeff.) Gray","yes","yes",0,2,NA,"Cortinarius croceus",NA,"yes"
"Cortinarius cruentoides","Cortinarius cruentoides",NA,"yes",1,1,"yes","Cortinarius cruentoides",NA,"yes"
"Cortinarius cucumeris","Cortinarius cucumeris",NA,"yes",0,1,NA,"Cortinarius cucumeris",NA,"yes"
"Cortinarius cumatilis","Cortinarius cumatilis",NA,"yes",0,1,NA,"Cortinarius cumatilis",NA,"yes"
"Cortinarius cunninghamii","Cortinarius cunninghamii (E.Horak) Peintner & M.M.Moser","yes","yes",0,2,NA,"Cortinarius cunninghamii, Thaxterogaster cunninghamii",NA,NA
"Cortinarius cystidiocatenatus","Cortinarius cystidiocatenatus (Grgur.) Gasparini","yes","yes",137,26,NA,"Cortinarius cystidiocatenatus, Inocybe cystidiocatenata","yes","yes"
"Cortinarius debbiae","Cortinarius debbiae Trappe & Claridge","yes",NA,0,0,NA,"Cortinarius debbiae",NA,NA
"Cortinarius debbieae","Cortinarius debbieae",NA,"yes",0,8,NA,"Cortinarius debbieae",NA,"yes"
"Cortinarius decipiens","Cortinarius decipiens",NA,NA,0,0,"yes","Cortinarius decipiens",NA,"yes"
"Cortinarius decoloratus","Cortinarius decoloratus (Fr.) Fr.","yes",NA,0,0,NA,"Agaricus decoloratus, Cortinarius decoloratus",NA,NA
"Cortinarius deminutus","Cortinarius deminutus Peintner","yes","yes",0,4,NA,"Cortinarius deminutus, Cortinarius redactus, Thaxterogaster redactus",NA,NA
"Cortinarius dombeyi","Cortinarius dombeyi",NA,NA,0,0,"yes","Cortinarius dombeyi",NA,"yes"
"Cortinarius dulciolens","Cortinarius dulciolens",NA,NA,NA,NA,NA,NA,"yes","yes"
"Cortinarius eartoxicus","Cortinarius eartoxicus Gasparini","yes","yes",16,14,"yes","Cortinarius eartoxicus",NA,"yes"
"Cortinarius elacatipus","Cortinarius elacatipus E.Horak, Peintner, M.M.Moser & Vilgalys","yes","yes",7,7,NA,"Cortinarius elacatipus, Rozites fusipes",NA,"yes"
"Cortinarius elaiochrous","Cortinarius elaiochrous",NA,"yes",0,1,"yes","Cortinarius elaiochrous",NA,"yes"
"Cortinarius elaiops","Cortinarius elaiops",NA,NA,0,0,"yes","Cortinarius elaiops","yes","yes"
"Cortinarius elatostipitatus","Cortinarius elatostipitatus Gasparini","yes","yes",0,2,NA,"Cortinarius elatostipitatus",NA,NA
"Cortinarius epiphaeus","Cortinarius epiphaeus",NA,"yes",0,1,NA,"Cortinarius epiphaeus",NA,"yes"
"Cortinarius epipurrus","Cortinarius epipurrus",NA,NA,0,0,"yes","Cortinarius epipurrus",NA,"yes"
"Cortinarius erythraeus","Cortinarius erythraeus Berk.","yes","yes",0,1,NA,"Cortinarius erythraeus, Cortinarius ruber","yes","yes"
"Cortinarius erythrocephalus","Cortinarius erythrocephalus Dennis","yes","yes",32,51,"yes","Cortinarius erythrocephalus, Dermocybe erythrocephala",NA,"yes"
"Cortinarius evernius","Cortinarius evernius (Fr.) Fr.","yes",NA,0,0,NA,"Agaricus evernius, Cortinarius evernius",NA,"yes"
"Cortinarius exlugubris","Cortinarius exlugubris",NA,NA,NA,NA,NA,NA,"yes",NA
"Cortinarius fiveashianus","Cortinarius fiveashianus Grgur.","yes","yes",0,5,NA,"Cortinarius fiveashianus",NA,NA
"Cortinarius flavidulus","Cortinarius flavidulus",NA,"yes",0,1,NA,"Cortinarius flavidulus",NA,NA
"Cortinarius flavovelus","Cortinarius flavovelus (Grgur.) Peintner & M.M.Moser","yes",NA,0,0,NA,"Cortinarius flavovelus, Thaxterogaster flavovelus",NA,NA
"Cortinarius fragilipes","Cortinarius fragilipes Cleland","yes","yes",0,1,NA,"Cortinarius fragilipes",NA,NA
"Cortinarius fragilis","Cortinarius fragilis (Zeller & C.W.Dodge) Peintner & M.M.Moser","yes",NA,0,0,NA,"Cortinarius fragilis, Hymenogaster fragilis, Setchelliogaster fragilis, Thaxterogaster fragilis",NA,"yes"
"Cortinarius fucatus","Cortinarius fucatus Gasparini","yes","yes",0,3,NA,"Cortinarius fucatus",NA,"yes"
"Cortinarius fulvoiubatus","Cortinarius fulvoiubatus Gasparini","yes","yes",0,13,NA,"Cortinarius fulvoiubatus",NA,"yes"
"Cortinarius fulvopaludosus","Cortinarius fulvopaludosus",NA,NA,0,0,"yes","Cortinarius fulvopaludosus","yes","yes"
"Cortinarius fuscoumbonatus","Cortinarius fuscoumbonatus Gasparini","yes","yes",142,16,NA,"Cortinarius fuscoumbonatus, Cortinarius umbonatus, Dermocybe umbonata",NA,NA
"Cortinarius gentilis","Cortinarius gentilis (Fr.) Fr.","yes",NA,0,0,NA,"Agaricus gentilis, Cortinarius gentilis",NA,"yes"
"Cortinarius glaucopus","Cortinarius glaucopus (Schaeff.) Fr.","yes",NA,0,0,"yes","Agaricus glaucopus, Cortinarius glaucopus",NA,"yes"
"Cortinarius globuliformis","Cortinarius globuliformis Bougher","yes","yes",33,417,"yes","Cortinarius globuliformis, Dermocybe globuliformis","yes","yes"
"Cortinarius grantalius","Cortinarius grantalius Grgur.","yes","yes",0,1,NA,"Cortinarius grantalius",NA,NA
"Cortinarius gymnocephalus","Cortinarius gymnocephalus",NA,NA,NA,NA,NA,NA,"yes","yes"
"Cortinarius hallowellensis","Cortinarius hallowellensis",NA,"yes",0,7,NA,"Cortinarius hallowellensis",NA,"yes"
"Cortinarius hallowensis","Cortinarius hallowensis A.E.Wood","yes","yes",14,14,NA,"Cortinarius hallowensis, Cortinarius violaceus",NA,NA
"Cortinarius hemitrichus","Cortinarius hemitrichus",NA,"yes",0,4,NA,"Cortinarius hemitrichus",NA,"yes"
"Cortinarius heterochroma","Cortinarius heterochroma",NA,NA,0,0,"yes","Cortinarius heterochroma",NA,"yes"
"Cortinarius ianthinus","Cortinarius ianthinus Cleland & J.R.Harris","yes","yes",1,5,NA,"Cortinarius ianthinus",NA,NA
"Cortinarius ignotus","Cortinarius ignotus",NA,"yes",0,1,NA,"Cortinarius ignotus",NA,"yes"
"Cortinarius ingratiolens","Cortinarius ingratiolens Gasparini","yes","yes",0,1,NA,"Cortinarius ingratiolens",NA,NA
"Cortinarius jenolanensis","Cortinarius jenolanensis A.E.Wood","yes",NA,0,0,NA,"Cortinarius jenolanensis",NA,NA
"Cortinarius kaputarensis","Cortinarius kaputarensis Danks, T.Lebel & Vernes","yes","yes",0,3,NA,"Cortinarius kaputarensis","yes","yes"
"Cortinarius kauffmanianus","Cortinarius kauffmanianus",NA,NA,0,0,"yes","Cortinarius kauffmanianus",NA,"yes"
"Cortinarius kiambramensis","Cortinarius kiambramensis Grgur.","yes","yes",1,1,NA,"Cortinarius kiambramensis",NA,NA
"Cortinarius kilpanius","Cortinarius kilpanius Grgur.","yes",NA,0,0,NA,"Cortinarius kilpanius",NA,NA
"Cortinarius kioloensis","Cortinarius kioloensis A.E.Wood","yes","yes",203,7,"yes","Cortinarius kioloensis",NA,"yes"
"Cortinarius lacteus","Cortinarius lacteus Gasparini","yes","yes",0,7,"yes","Cortinarius lacteus",NA,"yes"
"Cortinarius laetelamellatus","Cortinarius laetelamellatus Gasparini","yes","yes",0,5,NA,"Cortinarius laetelamellatus",NA,NA
"Cortinarius lanceolatus","Cortinarius lanceolatus",NA,NA,0,0,"yes","Cortinarius lanceolatus",NA,"yes"
"Cortinarius largiformis","Cortinarius largiformis",NA,"yes",0,1,NA,"Cortinarius largiformis",NA,NA
"Cortinarius largus","Cortinarius largus Fr.","yes","yes",0,5,NA,"Cortinarius largus",NA,"yes"
"Cortinarius lasiospermus","Cortinarius lasiospermus M.M.Moser","yes",NA,0,0,NA,"Cortinarius lasiospermus",NA,NA
"Cortinarius lavendocaeruleus","Cortinarius lavendocaeruleus Cleland & J.R.Harris","yes",NA,0,0,NA,"Cortinarius lavendocaeruleus",NA,NA
"Cortinarius lavendulensis","Cortinarius lavendulensis Cleland","yes",NA,0,0,NA,"Cortinarius lavendulensis","yes",NA
"Cortinarius leucanthemium","Cortinarius leucanthemium Gasparini","yes","yes",0,1,NA,"Cortinarius leucanthemium",NA,NA
"Cortinarius leucocephalus","Cortinarius leucocephalus (Massee) Peintner & M.M.Moser","yes","yes",0,18,NA,"Cortinarius leucocephalus, Secotium leucocephalum, Thaxterogaster leucocephalus",NA,NA
"Cortinarius levisporus","Cortinarius levisporus (Massee & Rodway) Peintner & M.M.Moser","yes","yes",1,41,NA,"Cortinarius levisporus, Hymenogaster levisporus, Octaviania levispora, Thaxterogaster levisporus",NA,NA
"Cortinarius lilacinofulvus","Cortinarius lilacinofulvus Cleland","yes","yes",0,1,NA,"Cortinarius lilacinofulvus",NA,NA
"Cortinarius luteirufescens","Cortinarius luteirufescens (Bougher) Peintner & M.M.Moser","yes","yes",4,8,NA,"Cortinarius luteirufescens, Thaxterogaster luteirufescens",NA,NA
"Cortinarius maculobulga","Cortinarius maculobulga Danks, T.Lebel & Vernes","yes","yes",0,4,"yes","Cortinarius maculobulga",NA,"yes"
"Cortinarius madidus","Cortinarius madidus Gasparini","yes","yes",0,2,NA,"Cortinarius madidus",NA,NA
"Cortinarius magellanicus","Cortinarius magellanicus Speg.","yes",NA,0,0,NA,"Cortinarius magellanicus",NA,"yes"
"Cortinarius majestaticus","Cortinarius majestaticus",NA,"yes",0,1,NA,"Cortinarius majestaticus",NA,NA
"Cortinarius malachius","Cortinarius malachius",NA,"yes",0,1,NA,"Cortinarius malachius",NA,"yes"
"Cortinarius malosinae","Cortinarius malosinae",NA,NA,NA,NA,NA,NA,"yes","yes"
"Cortinarius mariae","Cortinarius mariae (E.Horak, Peintner, M.M.Moser & Vilgalys) E.Horak, Peintner, M.M.Moser & Vilgalys","yes",NA,0,0,NA,"Cortinarius mariae, Rapacea mariae",NA,NA
"Cortinarius mastoideus","Cortinarius mastoideus Gasparini","yes",NA,0,0,NA,"Cortinarius mastoideus",NA,NA
"Cortinarius meleagris","Cortinarius meleagris",NA,"yes",0,1,NA,"Cortinarius meleagris",NA,"yes"
"Cortinarius melleomitis","Cortinarius melleomitis",NA,NA,NA,NA,NA,NA,"yes","yes"
"Cortinarius memoria-annae","Cortinarius memoria-annae Gasparini","yes",NA,0,0,NA,"Cortinarius memoria-annae",NA,NA
"Cortinarius metallicus","Cortinarius metallicus (Bougher, Fuhrer & E.Horak) Peintner, E.Horak, M.M.Moser & Vilgalys","yes","yes",236,33,NA,"Cortinarius metallicus, Rozites metallicus","yes","yes"
"Cortinarius metapolychrous","Cortinarius metapolychrous M.M.Moser","yes",NA,0,0,NA,"Cortinarius metapolychrous",NA,NA
"Cortinarius microarcheri","Cortinarius microarcheri Cleland","yes","yes",19,43,NA,"Cortinarius microarcheri",NA,NA
"Cortinarius miltinus","Cortinarius miltinus Fr.","yes",NA,0,0,NA,"Cortinarius miltinus, Dermocybe miltina",NA,NA
"Cortinarius minilacus","Cortinarius minilacus",NA,NA,0,0,"yes","Cortinarius minilacus",NA,"yes"
"Cortinarius minusculus","Cortinarius minusculus",NA,NA,0,0,"yes","Cortinarius minusculus",NA,"yes"
"Cortinarius moenne-loccozii","Cortinarius moenne-loccozii",NA,NA,NA,NA,NA,NA,"yes",NA
"Cortinarius musisporus","Cortinarius musisporus",NA,"yes",0,13,NA,"Cortinarius musisporus",NA,NA
"Cortinarius naphthalinus","Cortinarius naphthalinus",NA,NA,0,0,"yes","Cortinarius naphthalinus",NA,"yes"
"Cortinarius nebulobrunneus","Cortinarius nebulobrunneus Danks, T.Lebel & Vernes","yes",NA,0,0,NA,"Cortinarius nebulobrunneus",NA,NA
"Cortinarius nijerrus","Cortinarius nijerrus Gasparini","yes","yes",0,5,NA,"Cortinarius nijerrus",NA,NA
"Cortinarius niphophilus","Cortinarius niphophilus",NA,"yes",0,9,NA,"Cortinarius niphophilus",NA,NA
"Cortinarius obtectus","Cortinarius obtectus Peintner, E.Horak, M.M.Moser & Vilgalys","yes","yes",0,3,NA,"Cortinarius obtectus, Rozites occultus",NA,NA
"Cortinarius obtusus","Cortinarius obtusus (Fr.) Fr.","yes",NA,0,0,NA,"Agaricus obtusus, Cortinarius obtusus",NA,"yes"
"Cortinarius ochraceofulvus","Cortinarius ochraceofulvus Cleland","yes","yes",5,22,NA,"Cortinarius ochraceofulvus",NA,"yes"
"Cortinarius oleosus","Cortinarius oleosus",NA,"yes",1,34,NA,"Cortinarius oleosus",NA,NA
"Cortinarius olivaceoniger","Cortinarius olivaceoniger",NA,NA,0,0,"yes","Cortinarius olivaceoniger",NA,"yes"
"Cortinarius olivaceopictus","Cortinarius olivaceopictus",NA,"yes",0,7,"yes","Cortinarius olivaceopictus","yes","yes"
"Cortinarius orixanthus","Cortinarius orixanthus",NA,NA,NA,NA,NA,NA,"yes","yes"
"Cortinarius orphinus","Cortinarius orphinus Peintner & M.M.Moser","yes","yes",0,4,NA,"Cortinarius orphinus, Thaxterogaster brunneus",NA,NA
"Cortinarius paleaceus","Cortinarius paleaceus Fr.","yes",NA,0,0,NA,"Cortinarius paleaceus",NA,NA
"Cortinarius pallidus","Cortinarius pallidus",NA,"yes",0,7,NA,"Cortinarius pallidus",NA,NA
"Cortinarius papaver","Cortinarius papaver",NA,"yes",0,1,NA,"Cortinarius papaver",NA,"yes"
"Cortinarius paramoenolens","Cortinarius paramoenolens Rob.Henry","yes",NA,0,0,NA,"Cortinarius paramoenolens",NA,NA
"Cortinarius paraochraceus","Cortinarius paraochraceus",NA,"yes",0,1,NA,"Cortinarius paraochraceus",NA,NA
"Cortinarius peraurantiacus","Cortinarius peraurantiacus",NA,NA,0,0,"yes","Cortinarius peraurantiacus",NA,"yes"
"Cortinarius peraureus","Cortinarius peraureus",NA,"yes",0,1,NA,"Cortinarius peraureus","yes","yes"
"Cortinarius perelegans","Cortinarius perelegans",NA,NA,0,0,"yes","Cortinarius perelegans",NA,"yes"
"Cortinarius perfoetens","Cortinarius perfoetens E.Horak, Peintner, M.M.Moser & Vilgalys","yes","yes",78,18,NA,"Cortinarius perfoetens, Rozites foetens",NA,NA
"Cortinarius persicanus","Cortinarius persicanus Soop","yes",NA,0,0,NA,"Cortinarius persicanus",NA,NA
"Cortinarius persplendidus","Cortinarius persplendidus Gasparini","yes","yes",500,86,"yes","Cortinarius persplendidus, Dermocybe splendida",NA,"yes"
"Cortinarius phaeomyxa","Cortinarius phaeomyxa",NA,"yes",0,1,NA,"Cortinarius phaeomyxa","yes","yes"
"Cortinarius phaeouranus","Cortinarius phaeouranus Gasparini","yes","yes",0,1,NA,"Cortinarius phaeouranus",NA,NA
"Cortinarius phalarus","Cortinarius phalarus Bougher & R.N.Hilton","yes","yes",133,26,NA,"Cortinarius phalarus",NA,NA
"Cortinarius phoeniceus","Cortinarius phoeniceus (Bull.) Maire","yes",NA,0,0,NA,"Cortinarius phoeniceus, Dermocybe phoenicea",NA,NA
"Cortinarius pholiotellus","Cortinarius pholiotellus",NA,NA,0,0,"yes","Cortinarius pholiotellus",NA,"yes"
"Cortinarius piriformis","Cortinarius piriformis (Cleland & G.Cunn.) Peintner & M.M.Moser","yes","yes",0,5,NA,"Cortinarius piriformis, Secotium piriforme, Thaxterogaster piriformis",NA,NA
"Cortinarius porphyroideus","Cortinarius porphyroideus Peintner & M.M.Moser","yes","yes",0,1,NA,"Cortinarius porphyroideus, Secotium porphyreum, Thaxterogaster porphyreus",NA,"yes"
"Cortinarius pseliocaulis","Cortinarius pseliocaulis",NA,NA,0,0,"yes","Cortinarius pseliocaulis",NA,"yes"
"Cortinarius pseudoclaricolor","Cortinarius pseudoclaricolor E.Horak & M.M.Moser","yes","yes",0,3,NA,"Cortinarius pseudoclaricolor",NA,"yes"
"Cortinarius pseudoporphyropus","Cortinarius pseudoporphyropus Gasparini","yes","yes",0,2,NA,"Cortinarius pseudoporphyropus",NA,NA
"Cortinarius pseudorotundisporus","Cortinarius pseudorotundisporus Gasparini","yes","yes",7,4,NA,"Cortinarius pseudorotundisporus",NA,NA
"Cortinarius punctatiformis","Cortinarius punctatiformis",NA,NA,NA,NA,NA,NA,"yes","yes"
"Cortinarius purpurascens","Cortinarius purpurascens Fr.","yes",NA,0,0,NA,"Agaricus purpurascens, Cortinarius purpurascens",NA,NA
"Cortinarius purpurellus","Cortinarius purpurellus",NA,NA,0,0,"yes","Cortinarius purpurellus",NA,"yes"
"Cortinarius quarciticus","Cortinarius quarciticus",NA,NA,0,0,"yes","Cortinarius quarciticus",NA,"yes"
"Cortinarius quaresimalis","Cortinarius quaresimalis Gasparini","yes","yes",0,2,NA,"Cortinarius quaresimalis",NA,"yes"
"Cortinarius rhodophyllus","Cortinarius rhodophyllus",NA,NA,NA,NA,NA,NA,"yes",NA
"Cortinarius rigens","Cortinarius rigens",NA,NA,0,0,"yes","Cortinarius rigens",NA,"yes"
"Cortinarius roblerauli","Cortinarius roblerauli",NA,NA,0,0,"yes","Cortinarius roblerauli",NA,"yes"
"Cortinarius roseobrunneus","Cortinarius roseobrunneus",NA,NA,0,0,"yes","Cortinarius roseobrunneus",NA,"yes"
"Cortinarius roseolilacinus","Cortinarius roseolilacinus (Bougher, Fuhrer & E.Horak) Peintner, E.Horak, M.M.Moser & Vilgalys","yes","yes",34,17,NA,"Cortinarius roseolilacinus, Rozites roseolilacinus",NA,NA
"Cortinarius rotundisporus","Cortinarius rotundisporus Cleland & Cheel","yes","yes",2672,137,"yes","Cortinarius austroevernius, Cortinarius oleaginus, Cortinarius rotundisporus","yes","yes"
"Cortinarius rozites","Cortinarius rozites Gasparini","yes","yes",18,14,NA,"Cortinarius rozites",NA,"yes"
"Cortinarius rubescens","Cortinarius rubescens Gasparini","yes","yes",22,6,NA,"Cortinarius rubescens",NA,NA
"Cortinarius rubroviolaceus","Cortinarius rubroviolaceus",NA,"yes",0,3,NA,"Cortinarius rubroviolaceus",NA,NA
"Cortinarius rufobrunneus","Cortinarius rufobrunneus",NA,NA,0,0,"yes","Cortinarius rufobrunneus",NA,"yes"
"Cortinarius russeocinnamomeus","Cortinarius russeocinnamomeus Cleland","yes","yes",0,2,NA,"Cortinarius russeocinnamomeus",NA,NA
"Cortinarius salmaster","Cortinarius salmaster Gasparini","yes","yes",5,4,"yes","Cortinarius salmaster",NA,"yes"
"Cortinarius salmoneobasalis","Cortinarius salmoneobasalis",NA,"yes",0,12,NA,"Cortinarius salmoneobasalis",NA,NA
"Cortinarius sanguineus","Cortinarius sanguineus (Wulfen) Fr.","yes","yes",11,29,NA,"Agaricus sanguineus, Cortinarius sanguineus, Dermocybe sanguinea",NA,"yes"
"Cortinarius saniosus","Cortinarius saniosus (Fr.) Fr.","yes",NA,0,0,NA,"Agaricus saniosus, Cortinarius saniosus",NA,"yes"
"Cortinarius scabrosus","Cortinarius scabrosus (Cooke & Massee) Peintner & M.M.Moser","yes","yes",0,5,NA,"Cortinarius scabrosus, Secotium scabrosum, Thaxterogaster scabrosus",NA,NA
"Cortinarius scandens","Cortinarius scandens Fr.","yes",NA,0,0,NA,"Cortinarius scandens",NA,NA
"Cortinarius sclerophyllarum","Cortinarius sclerophyllarum Gasparini","yes",NA,0,0,NA,"Cortinarius sclerophyllarum",NA,NA
"Cortinarius sclerophyllorum","Cortinarius sclerophyllorum",NA,"yes",0,2,"yes","Cortinarius sclerophyllorum",NA,"yes"
"Cortinarius scobinaceus","Cortinarius scobinaceus Malençon & Bertault","yes",NA,0,0,NA,"Cortinarius scobinaceus",NA,NA
"Cortinarius sebosus","Cortinarius sebosus A.A.Francis & Bougher","yes","yes",0,4,"yes","Cortinarius sebosus","yes","yes"
"Cortinarius semisanguineus","Cortinarius semisanguineus",NA,"yes",1,4,NA,"Cortinarius semisanguineus",NA,"yes"
"Cortinarius sinapicolor","Cortinarius sinapicolor Cleland","yes","yes",1116,81,NA,"Cortinarius ochraceus, Cortinarius sinapicolor","yes","yes"
"Cortinarius sinapivelus","Cortinarius sinapivelus Danks, T.Lebel & Vernes","yes","yes",0,3,NA,"Cortinarius sinapivelus",NA,"yes"
"Cortinarius speciosus","Cortinarius speciosus",NA,"yes",2,0,NA,"Cortinarius speciosus",NA,NA
"Cortinarius splendidus","Cortinarius splendidus",NA,"yes",0,1,NA,"Cortinarius splendidus",NA,"yes"
"Cortinarius subarcheri","Cortinarius subarcheri Cleland","yes","yes",23,35,NA,"Cortinarius subarcheri",NA,NA
"Cortinarius subarvinaceus","Cortinarius subarvinaceus Cleland","yes","yes",2,12,NA,"Cortinarius subarvinaceus",NA,NA
"Cortinarius subcalyptrosporus","Cortinarius subcalyptrosporus",NA,"yes",1,0,NA,"Cortinarius subcalyptrosporus",NA,NA
"Cortinarius suberythraeus","Cortinarius suberythraeus",NA,"yes",83,38,NA,"Cortinarius suberythraeus",NA,NA
"Cortinarius sublargus","Cortinarius sublargus Cleland","yes","yes",66,58,NA,"Cortinarius radicatus, Cortinarius sublargus",NA,NA
"Cortinarius submagellanicus","Cortinarius submagellanicus Gasparini","yes",NA,0,0,NA,"Cortinarius submagellanicus",NA,NA
"Cortinarius submeleagris","Cortinarius submeleagris Gasparini","yes",NA,0,0,NA,"Cortinarius submeleagris",NA,NA
"Cortinarius subrufus","Cortinarius subrufus",NA,"yes",0,1,NA,"Cortinarius subrufus",NA,NA
"Cortinarius subsciorophyllus","Cortinarius subsciorophyllus Gasparini","yes","yes",0,4,NA,"Cortinarius subsciorophyllus",NA,"yes"
"Cortinarius subviolaceus","Cortinarius subviolaceus",NA,"yes",6,55,NA,"Cortinarius subviolaceus",NA,NA
"Cortinarius suecicolor","Cortinarius suecicolor",NA,NA,0,0,"yes","Cortinarius suecicolor",NA,"yes"
"Cortinarius symeae","Cortinarius symeae (Bougher, Fuhrer & E.Horak) Peintner, E.Horak, M.M.Moser & Vilgalys","yes","yes",15,15,NA,"Cortinarius symeae, Rozites symeae",NA,NA
"Cortinarius tabularis","Cortinarius tabularis",NA,"yes",0,1,NA,"Cortinarius tabularis",NA,"yes"
"Cortinarius tasmacamphoratus","Cortinarius tasmacamphoratus Gasparini","yes","yes",7,4,NA,"Cortinarius tasmacamphoratus",NA,"yes"
"Cortinarius taylorianus","Cortinarius taylorianus",NA,NA,0,0,"yes","Cortinarius taylorianus",NA,"yes"
"Cortinarius tessiae","Cortinarius tessiae",NA,"yes",2,0,NA,"Cortinarius tessiae","yes","yes"
"Cortinarius tubercularis","Cortinarius tubercularis",NA,"yes",0,3,NA,"Cortinarius tubercularis",NA,NA
"Cortinarius ulematus","Cortinarius ulematus Gasparini","yes","yes",0,1,NA,"Cortinarius ulematus",NA,NA
"Cortinarius uliginosus","Cortinarius uliginosus Berk.","yes",NA,0,0,NA,"Cortinarius uliginosus",NA,NA
"Cortinarius uraceisporus","Cortinarius uraceisporus",NA,NA,0,0,"yes","Cortinarius uraceisporus","yes","yes"
"Cortinarius valgus","Cortinarius valgus Fr.","yes",NA,0,0,NA,"Cortinarius camurus, Cortinarius valgus",NA,"yes"
