"canonicalName","acceptedNameUsage","NSL","GBIF","OBSERVATION_TOT","SPECIMEN_TOT","GlobalFungi","synonym_canonicalNames","GSMc","UNITE"
"Amanita clelandii","Amanita clelandii E.-J.Gilbert","yes","yes",8,23,NA,"Amanita clelandii",NA,NA
"Amanita compacta","Amanita compacta Bougher, E.M.Davison & Giustiniano","yes","yes",0,1,NA,"Amanita compacta",NA,"yes"
"Amanita conicobulbosa","Amanita conicobulbosa Cleland","yes","yes",21,59,NA,"Amanita conicobulbosa, Aspidella conicobulbosa",NA,NA
"Amanita conicogrisea","Amanita conicogrisea A.E.Wood","yes","yes",0,4,NA,"Amanita conicogrisea",NA,NA
"Amanita conicoverrucosa","Amanita conicoverrucosa A.E.Wood","yes","yes",2,3,NA,"Amanita conicoverrucosa",NA,"yes"
"Amanita crematelloides","Amanita crematelloides A.E.Wood","yes","yes",11,14,NA,"Amanita crematelloides",NA,NA
"Amanita curta","Amanita curta (Cooke & Massee) E.-J.Gilbert","yes","yes",0,1,NA,"Agaricus curtus, Amanita curta, Amanitopsis curta, Vaginata curta",NA,NA
"Amanita djarilmari","Amanita djarilmari",NA,"yes",0,20,NA,"Amanita djarilmari",NA,"yes"
"Amanita drummondii","Amanita drummondii E.M.Davison","yes","yes",1,14,"yes","Amanita drummondii",NA,"yes"
"Amanita dumosorum","Amanita dumosorum D.A.Reid","yes",NA,0,0,NA,"Amanita dumosorum",NA,NA
"Amanita effusa","Amanita effusa (Kalchbr.) D.A.Reid","yes","yes",101,27,NA,"Agaricus effusus, Amanita effusa, Pholiota effusa",NA,NA
"Amanita egregia","Amanita egregia D.A.Reid","yes","yes",121,24,"yes","Amanita egregia","yes","yes"
"Amanita egreginus","Amanita egreginus A.E.Wood","yes","yes",6,12,NA,"Amanita egreginus",NA,NA
"Amanita eliae","Amanita eliae Quél.","yes",NA,0,0,NA,"Amanita eliae",NA,NA
"Amanita elongatospora","Amanita elongatospora A.E.Wood","yes","yes",3,4,NA,"Amanita elongatospora",NA,NA
"Amanita erythrocephala","Amanita erythrocephala",NA,"yes",0,4,NA,"Amanita erythrocephala",NA,NA
"Amanita eucalypti","Amanita eucalypti O.K.Mill.","yes","yes",7,55,NA,"Amanita eucalypti",NA,"yes"
"Amanita excelsa","Amanita excelsa (Fr.) Bertill.","yes",NA,0,0,NA,"Amanita excelsa",NA,"yes"
