"dark_taxa_hotspot_index","CHELSA_BIO_Annual_Mean_Temperature","CHELSA_BIO_Annual_Precipitation","SG_Soil_pH_H2O_005cm","SG_SOC_Content_005cm","GRIP4_DistanceToAllRoads","GHS_Population_Density","ecm_sampleintensity_5degrees","veg_prop_ECM_Jinsu","host_family_richness","Pinaceae","Fabaceae","Achatocarpaceae","Asteraceae","Myrtaceae","Rosaceae","Juglandaceae","Casuarinaceae","Betulaceae","Dipterocarpaceae","Goodeniaceae","Ericaceae","Asteropeiaceae","Rhamnaceae","Fagaceae","Cistaceae","Polygonaceae","Malvaceae","Sarcolaenaceae","Gnetaceae","Nyctaginaceae","Nothofagaceae","Salicaceae","Ticodendraceae","Phyllanthaceae"
0.0101405093446374,270.483306884766,363.298248291016,78.0241928100586,11.5921669006348,3117.8818359375,0,0.00176177255343646,50,5,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.128946617245674,157.483779907227,1391.59985351562,56.610523223877,27.3942813873291,1680.73168945312,0,0.140314728021622,49,7,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0.0920272767543793,48.516487121582,687.523071289062,47.3904304504395,189.668838500977,8872.64453125,0,0.530944287776947,70,6,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0.0266635846346617,167.5,367.47314453125,74.5325393676758,17.1942138671875,19682.47265625,0.000691388791892678,0.0310251135379076,62,8,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.138731375336647,54.6161346435547,2038.24987792969,53.6157684326172,116.997367858887,1106.18078613281,0,0.389129936695099,69,12,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0
0.0142756700515747,160.318023681641,576.253051757812,77.999153137207,17.3150424957275,1082.76147460938,0,0.056755043566227,40,8,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
0.17653614282608,244.585052490234,1705.96740722656,53.4643249511719,43.695442199707,8928.0107421875,0,0.000592229713220149,5,7,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.214176371693611,109.418678283691,1587.06066894531,55.3019790649414,83.5240325927734,162.860977172852,0,0.00624085543677211,69,11,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0
0.0420561507344246,149.5,393.453430175781,71.00537109375,23.2543087005615,1523.6328125,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.151443764567375,43.5,695.574279785156,54.2897567749023,101.029335021973,6025.26416015625,1.46344375610352,0,15,6,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0.127754330635071,212.484039306641,2112.81274414062,55.821418762207,30.9681377410889,103.973007202148,0,0.147182658314705,23,12,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
0.026824526488781,89.5,885.685546875,64.8949127197266,49.08203125,56.5185203552246,11.3019065856934,0.042670726776123,1,8,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0
0.0367592573165894,-39.5,1039.78405761719,51.6070404052734,131.647155761719,98173.28125,0,0,70,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0380793958902359,237.466842651367,1146.85986328125,57.6961517333984,20.3766117095947,172.355270385742,28.5638103485107,0.00385201117023826,0,6,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.0176614616066217,233.483169555664,508.651458740234,70.9681167602539,7.25390911102295,2623.99267578125,0,0.0098241213709116,50,5,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24405425786972,97.6352233886719,1405.01574707031,58.493480682373,82.6951904296875,4994.51513671875,0,0.302457511425018,56,8,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0.0171788446605206,36.6004829406738,510.828765869141,76.5528793334961,26.3848667144775,79.2985458374023,0,0.0522261038422585,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.00364122190512717,27.4668197631836,309.085357666016,80.7614974975586,21.1818180084229,816.021057128906,0,0.0170653201639652,0,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.00372902024537325,109.466217041016,396.573608398438,76.7246551513672,11.4904165267944,4159.39306640625,0,0.0106577258557081,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.172430202364922,203.501358032227,1460.54748535156,50.3229484558105,31.0572319030762,8509.2822265625,0,0.00443678256124258,1,6,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.0330687128007412,15.4500160217285,532.301513671875,61.8382759094238,93.2312469482422,2131.453125,27.608736038208,0.0065394607372582,50,6,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0.0399131253361702,-33.516716003418,836.102111816406,49.487606048584,199.229461669922,228829.421875,0,0,50,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0558652095496655,270.483276367188,792.531799316406,60.741512298584,11.3545951843262,1026.78088378906,0,0.00176177255343646,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.00226356973871589,177.435073852539,335.571868896484,79.0790023803711,11.0951595306396,1464.86779785156,0,0.0818875804543495,0,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
0.0495059303939342,-11.5,628.489929199219,49.799934387207,316.983673095703,246399.9375,0,0.00307549582794309,87,5,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.067568376660347,29.499719619751,781.871826171875,50.4104881286621,195.74772644043,3828.39624023438,0,0.0276409834623337,70,7,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0
0.0926438271999359,262.5,1858.20935058594,54.5350685119629,23.105094909668,353.326049804688,0,0.00683806603774428,3,6,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
